Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08FF1,,4075.5,0.0012309306091,0,,4000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE941D07158,,3554.67,0.0010736233856,0,,350.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE756I07EM6,,3511.61,0.0010606178963,0,,350.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE041007142,,3063.8,0.000925365035,0,,3000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08LX5,,3062.18,0.0009248757435,0,,300.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE357L07481,,3057.11,0.0009233444422,0,,3000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE041007084,,3006.62,0.0009080948565,0,,300.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07PN6,,2634.25,0.0007956272744,0,,265.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08807,,2619.94,0.0007913051993,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE127K08017,,2546.4,0.0007690937806,0,,2500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07JT6,,2540.15,0.0007672060819,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08484,,2530.29,0.0007642280483,0,,25.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07MC6,,2529.4,0.00076395924,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08IE1,,2528.42,0.0007636632488,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08DO9,,2511.15,0.0007584471596,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QD5,,2510.48,0.0007582447983,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE296A07SF4,,2509.22,0.0007578642382,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE916DA7RU6,,2501.41,0.0007555053698,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE282H07018,,2500.44,0.000755212399,0,,2500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE936D07174,,2493.17,0.0007530166278,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07PI6,,2482.85,0.0007498996596,0,,250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE756I07DX5,,2481.23,0.0007494103681,0,,250.0,2025-07-31
