Issuer,Total_Exposure_Crores,Total_Exposure_Lacs,Funds_Count,WA_Yield,Funds_List,Holdings_Count,Avg_Holding_Size_Crores
Maharashtra SDL ISD 250625 MAT 250639^,100.2125,10021.25,1,7.179100000000001,HDFC,1,100.2125
VERTIS INFRASTRUCTURE TRUST**,100.12809999999999,10012.81,1,7.08,KOTAK,1,100.12809999999999
National Bank for Financing Infrastructure and Dev,99.06049999999999,9906.05,1,6.897499999999999,ABSLF,1,99.06049999999999
Axis Bank Ltd. **,97.65400000000001,9765.400000000001,1,6.022393993077601,ICICI,2,48.827000000000005
Bharat Sanchar Nigam Ltd.,96.4013,9640.130000000001,2,7.170942839982448,"ICICI,SBI",2,48.20065
IndInfravit Trust,95.0616,9506.16,1,6.859999999999999,ABSLF,1,95.0616
NHPC Ltd.^,91.4337,9143.37,1,6.632588722757583,HDFC,7,13.061957142857143
Gujarat SDL ISD 170124 MAT 170133^,89.045,8904.5,1,6.9311,HDFC,1,89.045
Jharkhand SDL ISD 240124 Mat 240132^,78.8832,7888.32,1,6.7938,HDFC,1,78.8832
SBI - Corporate Debt,78.4215,7842.15,1,0.0,ABSLF,1,78.4215
NUCLEAR POWER CORPORATION OF,76.9488,7694.88,1,6.57,KOTAK,1,76.9488
Nomura Fixed Income Securities,76.40960000000001,7640.960000000001,2,7.15999424156127,"HDFC,ICICI",2,38.204800000000006
UltraTech Cement Limited,75.7974,7579.74,1,7.052499999999999,ABSLF,1,75.7974
Power Grid Corporation of India Limited,75.69149999999999,7569.15,1,6.8889733180079675,ABSLF,2,37.845749999999995
Larsen & Toubro Limited,75.6112,7561.12,1,7.07,ABSLF,1,75.6112
Hindustan Zinc Limited,75.49980000000001,7549.9800000000005,1,6.819451666097129,ABSLF,2,37.749900000000004
Jio Credit Ltd,75.067,7506.7,1,7.1066518443523785,ABSLF,2,37.5335
% Gujarat SDL ISD 170124 Mat 170134^,73.3671,7336.71,1,6.9982,HDFC,1,73.3671
HDFC Bank Ltd.,72.9192,7291.92,1,6.13,ICICI,1,72.9192
India Grid Trust,64.947,6494.7,1,6.969999999999999,ABSLF,1,64.947
Aditya Birla Finance Limited,55.9555,5595.55,1,7.2449,ABSLF,1,55.9555
Chattisgarh SDL ISD 170124 MAT 170132^,52.593599999999995,5259.36,1,6.789100000000001,HDFC,1,52.593599999999995
Gujarat SDL ISD 240124 Mat 240134^,52.3785,5237.85,1,6.998200000000001,HDFC,1,52.3785
Chhattisgarh SDL ISD 240124 Mat 240131^,52.2868,5228.68,1,6.7707,HDFC,1,52.2868
NTPC Limited^,52.24059999999999,5224.0599999999995,1,6.666475605180645,HDFC,2,26.120299999999997
Andhra Pradesh SDL ISD 030424 MAT 030430^,51.7233,5172.33,1,6.614200000000001,HDFC,1,51.7233
NOMURA FIXED INCOME SECURITIES,50.945600000000006,5094.56,1,7.14,KOTAK,1,50.945600000000006
Reliance Life Sciences Pvt Ltd,50.804700000000004,5080.47,1,7.2546,ABSLF,1,50.804700000000004
Hindustan Zinc Ltd.**,50.7059,5070.59,1,7.12,KOTAK,1,50.7059
Andhra Pradesh SDL ISD 260325 MAT 260335^,50.700900000000004,5070.09,1,7.0056,HDFC,1,50.700900000000004
Hindustan Zinc Ltd. (,50.4675,5046.75,1,7.079999999999999,KOTAK,1,50.4675
Maharashtra SDL ISD 080125 MAT 080138^,50.256099999999996,5025.61,1,7.1708,HDFC,1,50.256099999999996
REC LTD,50.118900000000004,5011.89,1,6.799999999999999,KOTAK,1,50.118900000000004
ICICI Bank Ltd.^,49.7133,4971.33,1,6.865,HDFC,1,49.7133
